Detector;Time;qPKW;qLKW;vPKW;vLKW
320209307_0;39683;1;0;0;0
320209307_0;39685;1;0;0;0
320209307_0;39686;1;0;0;0
320209307_0;39692;2;0;0;0
320209307_0;39694;2;0;0;0
320209307_0;39696;1;0;0;0
320209307_0;39697;1;0;0;0
320209307_0;39698;1;0;0;0
320209307_0;39699;2;0;0;0
320209307_0;39700;1;0;0;0
320209307_0;39701;1;0;0;0
320209307_0;39703;1;0;0;0
320209307_0;39704;1;0;0;0
320209307_0;39705;2;0;0;0
320209307_0;39707;1;0;0;0
320209307_0;39708;1;0;0;0
320209307_0;39709;5;0;0;0
320209307_0;39710;1;0;0;0
320209307_0;39714;1;0;0;0
320209307_0;39715;2;0;0;0
320209307_0;39716;2;0;0;0
320209307_0;39720;1;0;0;0
320209307_0;39724;1;0;0;0
320209307_0;39726;1;0;0;0
320209307_0;39727;2;0;0;0
320209307_0;39728;1;0;0;0
320209307_0;39729;1;0;0;0
320209307_0;39730;1;0;0;0
320209307_0;39731;1;0;0;0
320209307_0;39732;1;0;0;0
320209307_0;39734;1;0;0;0
320209307_0;39735;1;0;0;0
320209307_0;39737;1;0;0;0
320209307_0;39738;2;0;0;0
320209307_0;39739;3;0;0;0
320209307_0;39741;1;0;0;0
320209307_0;39742;1;0;0;0
320209307_0;39743;1;0;0;0
320209307_0;39745;1;0;0;0
320209307_0;39747;1;0;0;0
320209307_0;39748;1;0;0;0
320209307_0;39750;2;0;0;0
320209307_0;39751;1;0;0;0
320209307_0;39752;2;0;0;0
320209307_0;39756;1;0;0;0
320209307_0;39757;1;0;0;0
320209307_0;39758;2;0;0;0
320209307_0;39760;2;0;0;0
320209307_0;39761;1;0;0;0
320209307_0;39762;1;0;0;0
320209307_0;39764;1;0;0;0
320209307_0;39765;1;0;0;0
320209307_0;39766;1;0;0;0
320209307_0;39768;1;0;0;0
320209307_0;39769;1;0;0;0
320209307_0;39771;1;0;0;0
320209307_0;39773;1;0;0;0
320209307_0;39775;2;0;0;0
320209307_0;39776;1;0;0;0
320209307_0;39779;2;0;0;0
320209307_0;39780;3;0;0;0
320209307_0;39782;4;0;0;0
320209307_0;39784;1;0;0;0
320209307_0;39786;1;0;0;0
320209307_0;39787;2;0;0;0
320209307_0;39788;1;0;0;0
320209307_0;39789;1;0;0;0
320209307_0;39790;1;0;0;0
320209307_0;39795;1;0;0;0
320209307_0;39796;2;0;0;0
320209307_0;39800;1;0;0;0
320209307_0;39801;1;0;0;0
320209307_0;39804;2;0;0;0
320209307_0;39805;2;0;0;0
320209307_0;39806;1;0;0;0
320209307_0;39808;1;0;0;0
320209307_0;39809;3;0;0;0
320209307_0;39811;2;0;0;0
320209307_0;39813;3;0;0;0
320209307_0;39816;1;0;0;0
320209307_0;39818;1;0;0;0
320209307_0;39821;2;0;0;0
320209307_0;39824;2;0;0;0
320209307_0;39825;2;0;0;0
320209307_0;39826;1;0;0;0
320209307_0;39827;2;0;0;0
320209307_0;39829;1;0;0;0
320209307_0;39830;1;0;0;0
320209307_0;39831;2;0;0;0
320209307_0;39832;1;0;0;0
320209307_0;39834;2;0;0;0
320209307_0;39836;1;0;0;0
320209307_0;39838;1;0;0;0
320209307_0;39841;1;0;0;0
320209307_0;39842;1;0;0;0
320209307_0;39846;1;0;0;0
320209307_0;39847;1;0;0;0
320209307_0;39848;2;0;0;0
320209307_0;39849;1;0;0;0
320209307_0;39851;1;0;0;0
320209307_0;39858;1;0;0;0
320209307_0;39860;1;0;0;0
320209307_0;39861;2;0;0;0
320209307_0;39862;2;0;0;0
320209307_0;39873;1;0;0;0
320209307_0;39874;1;0;0;0
320209307_0;39876;1;0;0;0
320209307_0;39877;2;0;0;0
320209307_0;39878;2;0;0;0
320209307_0;39880;1;0;0;0
320209307_0;39882;1;0;0;0
320209307_0;39885;1;0;0;0
320209307_0;39887;1;0;0;0
320209307_0;39889;1;0;0;0
320209307_0;39890;1;0;0;0
320209307_0;39891;2;0;0;0
320209307_0;39892;1;0;0;0
320209307_0;39893;1;0;0;0
320209307_0;39894;1;0;0;0
320209307_0;39895;6;0;0;0
320209307_0;39896;1;0;0;0
320209307_0;39898;1;0;0;0
320209307_0;39900;2;0;0;0
320209307_0;39901;1;0;0;0
320209307_0;39902;1;0;0;0
320209307_0;39911;1;0;0;0
320209307_0;39913;1;0;0;0
320209307_0;39915;1;0;0;0
320209307_0;39916;1;0;0;0
320209307_0;39922;1;0;0;0
320209307_0;39924;1;0;0;0
320209307_0;39925;1;0;0;0
320209307_0;39926;2;0;0;0
320209307_0;39927;1;0;0;0
320209307_0;39928;3;0;0;0
320209307_0;39929;5;0;0;0
320209307_0;39933;1;0;0;0
320209307_0;39938;1;0;0;0
320209307_0;39941;2;0;0;0
320209307_0;39942;4;0;0;0
320209307_0;39943;1;0;0;0
320209307_0;39944;2;0;0;0
320209307_0;39945;1;0;0;0
320209307_0;39946;1;0;0;0
320209307_0;39947;1;0;0;0
320209307_0;39950;1;0;0;0
320209307_0;39951;1;0;0;0
320209307_0;39953;2;0;0;0
320209307_0;39954;1;0;0;0
320209307_0;39956;1;0;0;0
320209307_0;39957;1;0;0;0
320209307_0;39959;1;0;0;0
320209307_0;39962;2;0;0;0
320209307_0;39966;3;0;0;0
320209307_0;39972;1;0;0;0
320209307_0;39973;2;0;0;0
320209307_0;39974;1;0;0;0
320209307_0;39978;2;0;0;0
320209307_0;39979;1;0;0;0
320209307_0;39980;2;0;0;0
320209307_0;39981;2;0;0;0
320209307_0;39982;1;0;0;0
320209307_0;39983;1;0;0;0
320209307_0;39986;2;0;0;0
320209307_0;39995;1;0;0;0
320209307_0;40002;1;0;0;0
320209307_0;40006;1;0;0;0
320209307_0;40007;1;0;0;0
320209307_0;40011;1;0;0;0
320209307_0;40012;1;0;0;0
320209307_0;40014;2;0;0;0
320209307_0;40015;1;0;0;0
320209307_0;40016;1;0;0;0
320209307_0;40018;3;0;0;0
320209307_0;40022;1;0;0;0
320209307_0;40023;1;0;0;0
320209307_0;40025;2;0;0;0
320209307_0;40027;1;0;0;0
320209307_0;40028;2;0;0;0
320209307_0;40029;1;0;0;0
320209307_0;40032;1;0;0;0
320209307_0;40034;1;0;0;0
320209307_0;40035;1;0;0;0
320209307_0;40036;1;0;0;0
320209307_0;40037;1;0;0;0
320209307_0;40044;1;0;0;0
320209307_0;40045;2;0;0;0
320209307_0;40046;1;0;0;0
320209307_0;40047;2;0;0;0
320209307_0;40048;2;0;0;0
320209307_0;40049;1;0;0;0
320209307_0;40050;3;0;0;0
320209307_0;40052;1;0;0;0
320209307_0;40053;1;0;0;0
320209307_0;40054;2;0;0;0
320209307_0;40056;2;0;0;0
320209307_0;40058;1;0;0;0
320209307_0;40059;1;0;0;0
320209307_0;40060;2;0;0;0
320209307_0;40061;1;0;0;0
320209307_0;40065;1;0;0;0
320209307_0;40068;1;0;0;0
320209307_0;40071;1;0;0;0
320209307_0;40073;1;0;0;0
320209307_0;40075;1;0;0;0
320209307_0;40078;1;0;0;0
320209307_0;40079;1;0;0;0
320209307_0;40080;1;0;0;0
320209307_0;40081;1;0;0;0
320209307_0;40082;3;0;0;0
320209307_0;40083;2;0;0;0
320209307_0;40085;3;0;0;0
320209307_0;40086;3;0;0;0
320209307_0;40087;1;0;0;0
320209307_0;40091;1;0;0;0
320209307_0;40094;1;0;0;0
320209307_0;40098;1;0;0;0
320209307_0;40100;2;0;0;0
320209307_0;40101;2;0;0;0
320209307_0;40103;2;0;0;0
320209307_0;40106;1;0;0;0
320209307_0;40107;1;0;0;0
320209307_0;40108;1;0;0;0
320209307_0;40109;1;0;0;0
320209307_0;40113;1;0;0;0
320209307_0;40114;1;0;0;0
320209307_0;40117;1;0;0;0
320209307_0;40121;1;0;0;0
320209307_0;40122;1;0;0;0
320209307_0;40126;1;0;0;0
320209307_0;40128;1;0;0;0
320209307_0;40129;1;0;0;0
320209307_0;40130;1;0;0;0
320209307_0;40131;1;0;0;0
320209307_0;40132;1;0;0;0
320209307_0;40133;2;0;0;0
320209307_0;40134;1;0;0;0
320209307_0;40136;1;0;0;0
